annual_income_lakhs,debt_to_income,credit_history_months,num_open_accounts,num_defaults,loan_amount_lakhs,employment_years,home_ownership,credit_score_band,target
1.44,0.0,74,5,4,34.94,18,0,370,0
5.35,0.7151,99,5,1,15.66,15,1,781,1
18.94,0.0,0,5,1,30.27,3,0,561,1
9.92,0.9023,0,6,3,0.5,0,0,872,1
18.5,0.0277,40,2,0,6.9,7,0,754,1
2.97,0.4413,99,4,1,5.76,12,0,853,1
20.51,0.7815,0,6,1,0.5,8,0,900,1
1.0,1.0,146,5,3,0.72,9,0,761,0
27.77,0.1894,13,3,3,0.71,2,0,900,1
1.0,1.0,94,6,3,7.13,10,0,900,1
28.98,0.0,34,2,1,23.17,8,0,534,0
1.0,0.3979,111,2,1,10.39,8,0,694,0
18.2,0.7115,2,3,1,0.5,2,0,900,1
1.0,1.0,0,5,1,0.5,19,1,900,0
41.99,0.0,0,5,1,12.08,7,0,789,1
8.55,0.0,61,5,0,52.24,25,0,900,1
12.35,0.0,162,7,2,31.07,11,0,547,0
17.99,0.0,13,4,1,31.03,6,0,601,1
1.0,0.0,200,3,2,16.58,1,1,499,0
17.01,0.2257,166,0,3,17.76,1,1,745,1
14.49,0.2221,18,1,2,11.19,6,0,900,1
9.23,0.0,64,4,0,42.45,23,0,900,1
13.12,0.0,29,3,1,47.75,17,0,900,1
30.72,0.0,119,5,2,32.41,10,1,518,0
24.41,1.0,36,6,1,0.5,0,1,700,1
22.31,0.0,72,0,2,35.21,11,0,662,0
11.95,0.0,112,0,3,30.53,9,0,749,0
18.52,0.0,90,6,3,26.72,12,0,652,1
17.67,0.0,104,3,1,38.19,13,1,484,0
1.0,0.2469,154,0,0,26.8,25,1,900,1
33.12,0.0,62,5,4,37.26,3,1,499,0
1.0,0.0,162,0,2,20.79,3,0,612,0
22.19,0.0,101,0,3,18.71,5,0,703,0
1.0,0.14,49,2,2,17.05,16,0,643,0
22.5,0.0349,28,6,0,10.76,8,0,867,1
2.51,0.5831,53,5,0,4.22,8,0,676,0
28.6,0.0,64,0,0,13.8,7,1,419,0
9.92,0.0,189,0,0,29.53,5,0,509,0
9.4,0.0,90,0,1,12.2,11,0,589,0
7.44,0.0,19,5,0,12.74,15,0,600,1
1.0,0.0,3,0,2,32.72,33,0,817,1
1.0,0.5734,116,6,3,6.74,16,0,618,0
1.0,0.9341,41,0,0,16.51,16,1,891,0
22.21,0.0,150,0,1,30.08,25,0,772,1
2.79,0.9137,131,5,0,0.5,0,1,502,1
1.0,0.4237,18,1,0,15.35,29,1,623,0
10.29,0.0,77,7,1,14.7,15,0,587,0
6.32,0.2579,37,1,2,13.07,8,0,848,1
1.0,0.4966,103,5,1,12.31,4,0,885,0
9.34,0.1106,62,2,3,15.57,12,0,803,0
4.76,0.6446,59,5,3,0.5,0,1,702,1
1.0,0.1363,109,5,0,16.69,13,0,561,0
1.0,1.0,191,4,3,16.91,27,0,900,1
31.68,0.0,0,5,4,22.53,9,0,895,1
19.38,0.0,145,2,2,0.5,0,0,569,0
1.0,0.6465,160,5,5,30.64,6,1,656,1
3.21,0.0,121,3,4,22.95,6,0,659,0
22.19,0.0,90,5,3,32.72,8,1,521,0
8.24,0.0,18,0,1,44.12,15,0,900,1
24.15,0.8568,35,4,2,0.5,0,1,727,1
1.0,0.7668,33,3,2,14.63,11,0,900,1
7.29,0.5131,87,3,0,2.86,7,0,900,1
1.0,0.8347,124,6,0,20.74,4,0,900,0
1.34,0.032,77,6,3,11.89,13,1,629,0
12.3,0.0511,109,4,1,7.16,13,1,545,0
13.0,0.0642,125,2,2,23.31,9,0,808,1
18.99,0.0,156,2,5,42.75,12,0,530,0
9.55,0.0,101,5,0,15.6,22,0,433,0
4.98,0.3571,52,2,3,0.5,10,0,528,1
14.47,0.0,112,1,3,26.85,9,1,651,1
17.49,0.0,58,6,4,35.54,20,0,315,0
1.0,0.9067,58,7,1,13.12,18,1,686,0
26.06,0.0198,101,4,1,0.5,14,1,472,0
1.0,0.7217,96,0,2,11.78,18,1,625,0
11.42,0.0783,137,1,1,13.48,10,1,630,1
1.0,0.0057,124,4,2,11.44,0,0,753,0
48.23,0.0,66,7,7,0.5,32,1,440,0
21.8,0.2547,52,0,0,0.5,4,0,885,1
23.15,0.0,43,4,5,23.87,8,0,829,0
1.0,0.2091,30,2,0,24.29,26,0,674,1
6.67,0.1428,137,8,2,27.63,12,0,893,1
10.59,0.0,44,9,2,26.36,25,1,405,0
28.08,0.3367,2,7,0,0.5,0,0,682,0
22.71,0.0,136,0,2,29.14,8,0,416,0
25.3,0.0,58,5,1,13.07,12,0,578,0
5.14,0.0,63,0,1,11.5,15,0,670,0
24.71,0.0,88,4,4,34.36,5,0,610,0
15.04,0.375,0,2,1,16.05,10,0,900,0
25.32,0.0,66,9,0,12.2,20,0,586,0
1.0,0.1042,37,6,1,24.0,13,0,900,1
24.05,0.0,139,9,3,11.47,7,1,530,0
8.13,0.0,161,4,0,0.5,18,0,776,0
23.61,0.1868,84,8,4,18.4,1,0,718,0
1.0,1.0,141,3,4,0.5,1,0,900,1
12.05,0.0,129,9,4,17.14,7,0,522,0
1.0,1.0,213,2,5,0.5,16,0,900,0
14.89,0.0,144,1,1,17.13,14,0,639,1
8.4,0.491,120,7,3,20.16,0,0,900,1
15.4,0.2579,230,8,3,20.25,9,1,831,1
9.32,0.2827,86,9,5,36.28,5,1,678,0
26.09,0.0,69,2,1,33.47,9,0,627,0
1.0,0.3571,91,3,0,13.41,12,0,782,1
21.89,0.0,48,2,2,19.15,5,0,328,0
25.18,0.7651,84,2,0,0.5,0,0,816,1
11.35,0.0202,127,0,1,5.09,4,0,752,0
32.63,0.2124,24,0,4,0.5,0,1,561,1
1.0,0.7934,0,6,1,2.69,34,0,596,0
17.77,0.0,72,0,4,20.95,9,0,524,0
1.32,0.2233,96,1,2,14.02,10,0,628,0
1.0,0.0,31,2,5,27.93,19,0,531,0
21.29,0.0,94,2,1,19.23,13,0,545,0
37.42,0.0,64,2,0,7.45,7,0,572,0
19.92,0.0,127,0,0,44.56,25,0,678,0
1.0,0.4996,39,4,1,7.04,25,1,551,0
32.16,0.0,66,4,4,32.97,1,0,684,1
35.05,0.0,70,7,0,15.56,29,0,900,0
1.0,0.5242,137,5,4,14.22,7,0,523,0
3.25,0.6519,39,1,1,4.75,8,0,900,1
45.23,0.0,4,3,0,2.36,16,0,630,0
1.0,0.0,154,9,3,22.21,2,0,571,0
16.61,0.3549,53,5,1,4.49,10,0,794,1
9.0,0.2044,112,0,2,17.79,8,0,765,1
18.36,0.0,62,2,1,13.15,18,0,459,0
11.59,0.0,78,5,0,13.89,15,0,521,0
1.0,1.0,214,1,6,0.5,13,0,829,1
1.0,0.7712,97,0,2,17.43,7,1,900,0
1.0,0.807,39,1,2,0.5,16,0,730,0
7.84,0.133,103,1,1,0.5,15,1,437,0
12.79,0.2883,0,0,4,13.85,2,0,777,1
1.0,0.923,101,7,1,0.5,11,1,741,0
1.0,0.078,0,5,5,38.32,32,0,900,1
11.25,0.4309,19,3,4,1.59,0,0,793,1
1.0,0.7192,43,7,1,16.32,2,0,900,1
17.08,0.0,113,5,3,29.72,8,1,618,0
19.81,0.0,166,2,0,20.37,15,0,300,0
11.52,0.0,185,9,0,17.52,17,1,300,0
1.0,0.0,81,0,1,18.46,30,1,619,1
5.01,0.2542,64,0,1,14.19,7,0,860,1
1.0,0.0,123,3,2,30.56,24,0,900,0
21.65,0.0,74,2,2,14.23,8,0,694,1
24.03,0.0,123,5,2,32.76,14,1,483,0
29.27,0.0,28,3,2,11.37,6,0,900,1
1.0,1.0,0,5,1,7.03,28,1,782,0
1.0,0.6754,60,4,1,13.46,14,1,799,0
1.0,0.0879,152,2,0,27.28,12,0,565,0
26.86,0.0,117,5,3,29.09,9,0,779,0
1.0,0.6284,130,7,1,11.26,14,1,709,0
31.56,0.0,39,4,2,21.33,7,1,377,0
18.47,0.0,21,9,2,18.22,7,0,797,1
7.72,0.0,124,7,4,16.17,8,0,369,0
21.04,0.0,148,2,3,31.34,13,0,889,1
20.14,0.8204,134,5,1,0.5,0,0,706,1
16.28,0.7498,24,4,1,0.5,0,1,715,1
31.73,0.3144,0,6,1,0.5,3,0,863,1
13.33,0.0,98,7,0,3.98,12,0,572,0
12.32,0.283,106,2,1,25.42,0,0,838,1
1.0,0.756,71,3,2,24.08,11,1,873,0
9.87,0.0,109,6,5,46.73,3,1,485,0
14.15,0.0,91,2,4,27.95,5,0,561,0
31.02,0.0,0,2,3,22.39,17,0,788,1
7.82,0.0,137,9,0,14.43,7,0,580,0
7.35,0.0,137,7,1,25.17,8,0,330,0
30.8,0.0,0,0,4,8.71,0,0,643,1
3.14,0.0,0,5,1,29.5,10,0,725,1
17.41,0.7401,0,7,0,0.5,2,0,738,1
23.92,0.0,70,0,0,16.33,22,1,458,0
51.66,0.6018,0,4,3,0.5,0,1,887,1
18.14,0.4249,0,2,4,10.72,0,1,738,0
15.18,0.2536,121,3,6,36.43,0,1,351,0
8.52,0.0242,118,7,4,35.06,11,0,689,0
8.75,0.5013,104,0,2,39.43,0,0,900,1
1.0,0.0,97,2,5,31.66,8,0,628,0
1.0,0.0,162,0,0,23.58,15,1,466,0
44.41,0.0,0,5,2,9.2,19,0,559,0
1.0,0.0,172,1,1,8.04,2,0,464,0
14.32,0.4533,86,1,3,0.5,0,1,647,1
36.17,0.0,0,3,5,11.73,0,0,784,1
1.0,0.6925,53,0,3,19.96,11,1,855,1
1.0,0.8469,127,4,0,0.5,3,0,764,0
11.05,0.6542,9,3,1,0.5,9,0,900,1
23.55,0.0,84,7,6,42.2,0,1,501,0
16.26,0.0,73,3,1,0.5,15,0,577,0
40.72,0.0,63,6,3,0.5,24,0,542,0
1.0,0.3061,9,4,0,30.61,15,0,900,1
15.18,0.0,157,3,2,33.9,21,0,300,0
1.0,1.0,20,5,1,2.72,10,1,900,0
15.35,0.4464,28,2,0,0.5,21,1,760,0
1.0,1.0,0,3,0,15.18,24,1,900,0
31.37,0.0987,0,1,5,0.5,0,0,863,1
31.6,0.7446,0,2,1,0.5,0,1,836,1
1.0,0.0,163,7,0,6.78,23,0,799,0
1.0,0.289,146,3,0,22.82,8,1,731,0
1.0,0.6999,112,0,4,15.43,13,0,657,1
3.98,0.0,51,4,1,36.85,20,0,514,0
4.88,0.0903,57,0,0,27.5,11,0,882,1
1.0,0.0,148,0,4,16.4,3,0,593,0
1.0,0.0,146,2,0,4.89,3,0,573,0
36.11,0.0,120,8,0,35.29,1,1,630,1
1.0,0.7083,72,0,1,26.77,8,0,900,1
14.01,0.0,30,5,2,51.14,11,0,900,1
10.97,0.5041,174,2,1,5.15,5,1,721,0
22.37,0.0,152,6,2,24.46,12,0,703,0
11.43,0.0531,122,2,0,31.13,13,1,894,1
1.8,0.0,78,0,0,25.38,16,0,706,1
12.49,0.0,138,1,0,10.28,15,1,606,0
5.28,0.1086,141,4,4,34.56,8,1,575,0
3.89,0.0,5,8,0,16.88,29,1,483,0
1.0,0.5611,57,6,2,9.44,16,0,805,1
5.21,0.0823,137,0,0,20.29,11,1,519,0
36.46,0.3665,37,1,0,0.5,0,0,765,1
1.0,0.789,173,1,3,18.35,18,0,900,1
16.89,0.0,117,1,1,14.02,19,0,850,0
25.02,0.0,75,4,0,2.88,14,0,605,0
8.43,0.5549,38,7,3,2.41,11,0,667,0
1.0,0.0,47,7,0,36.91,26,0,900,1
1.0,0.6582,87,7,3,1.13,1,0,710,1
17.33,0.3445,89,4,1,0.5,0,0,706,1
18.88,0.0,63,3,0,2.35,13,0,566,0
21.73,0.0,65,5,0,14.95,16,0,586,0
1.0,0.4944,101,4,2,18.39,24,0,900,1
25.4,0.0,109,3,1,12.5,10,1,556,0
1.0,0.3297,49,0,0,10.06,10,0,835,0
9.83,0.4516,25,2,1,3.41,5,0,798,1
11.99,0.0,136,5,2,17.08,2,0,474,0
4.56,0.013,47,6,3,18.85,8,0,663,0
1.0,0.1042,227,7,4,25.38,0,1,797,0
1.0,0.7046,187,3,3,3.24,14,1,690,0
21.98,0.3894,2,4,1,0.5,1,0,741,1
1.16,0.0,187,4,1,24.04,17,0,606,0
28.89,0.5406,43,1,1,0.5,0,1,656,1
9.76,0.7046,39,0,0,0.5,7,0,886,1
6.86,0.0809,56,2,1,9.83,9,0,884,1
36.96,0.0,84,8,0,17.17,12,1,569,0
1.0,0.0421,174,8,1,21.9,15,1,466,0
1.0,0.0,160,1,1,17.67,13,0,533,0
5.49,0.2323,121,4,0,22.76,9,0,807,1
11.65,0.4088,132,1,2,22.0,1,0,900,1
24.77,0.0079,0,4,0,3.83,7,0,785,1
1.0,0.337,98,7,1,12.77,12,0,714,0
8.44,0.3922,225,2,3,32.14,9,1,900,1
1.0,0.0,175,1,2,27.01,8,0,505,0
6.42,0.3503,56,6,3,14.16,11,1,870,0
12.34,0.0,4,7,2,17.44,21,0,397,1
1.0,0.6581,113,5,6,0.5,17,0,848,1
50.07,0.0,60,0,2,16.39,27,0,742,0
1.0,0.0,97,5,2,30.17,11,0,532,0
27.55,0.0,34,5,0,3.12,10,0,460,0
16.75,0.0,137,5,0,7.33,23,1,652,1
29.84,0.0,32,2,3,46.86,7,1,435,0
1.0,0.5331,164,5,2,1.42,6,0,578,0
6.44,0.03,100,3,0,19.51,18,0,704,0
35.78,0.4801,6,5,1,0.5,0,0,813,1
20.7,1.0,46,0,3,0.5,0,1,634,1
10.29,0.2175,95,6,0,0.5,9,0,609,0
3.89,0.0,0,3,0,25.35,18,0,752,1
1.0,0.1236,177,5,1,7.29,0,0,625,0
1.0,0.0,48,2,3,35.89,13,0,594,0
1.0,1.0,25,5,0,5.25,12,0,900,0
12.66,0.2436,0,5,1,14.99,12,0,900,1
11.47,0.0,51,0,5,46.19,3,0,607,0
11.14,0.0451,0,1,2,19.11,19,0,789,0
15.78,0.0,163,1,1,0.5,17,1,572,0
1.0,0.1885,153,7,2,9.96,13,0,665,1
1.0,0.2381,162,1,1,13.41,10,1,530,0
21.68,0.0,95,7,0,10.43,17,0,583,0
21.34,0.4331,39,6,2,0.5,0,0,741,1
1.0,0.6048,97,1,2,10.16,2,0,790,1
5.15,0.0,165,0,1,13.58,6,0,624,0
2.79,0.3033,112,4,0,15.49,11,0,730,1
1.0,0.7669,128,0,3,4.38,16,0,900,1
16.21,0.0,35,5,4,31.32,24,0,374,0
10.26,0.0,211,0,0,26.84,4,0,478,0
1.0,1.0,102,0,2,9.38,2,0,900,1
1.0,0.546,69,2,2,12.88,17,0,690,0
26.38,0.0,9,3,2,30.91,3,0,492,1
1.0,0.0,42,5,2,24.12,26,0,483,0
13.17,0.8658,19,3,1,0.5,3,0,809,1
1.0,0.0,89,1,0,26.11,22,1,390,0
20.12,0.0,131,4,1,32.89,17,0,639,0
1.0,0.5166,65,2,2,3.26,12,1,672,0
14.58,0.1716,113,4,1,0.5,14,0,578,0
1.0,0.4025,15,1,0,22.18,32,1,591,0
37.25,0.0,2,4,2,8.28,4,0,850,1
11.85,0.0,141,3,0,31.21,13,1,630,0
1.0,0.1606,137,4,0,22.68,27,0,897,1
20.17,0.7341,48,5,3,0.5,4,0,587,0
37.29,0.0,53,6,2,43.68,13,0,552,0
20.87,0.1058,0,8,0,14.07,9,0,774,1
17.68,0.4379,52,2,1,0.5,1,0,818,1
8.68,0.0,145,1,1,29.04,13,0,300,0
16.09,0.0,77,4,1,24.29,0,1,520,1
21.36,0.0,32,1,2,49.49,22,1,810,1
46.22,0.0,98,6,5,37.98,11,0,361,0
15.99,0.0,66,4,3,34.67,15,0,792,0
37.81,0.0277,0,2,6,5.7,0,0,900,1
35.41,0.0876,0,0,0,1.52,4,0,899,1
11.39,0.1116,0,4,1,24.67,19,0,900,1
3.65,0.0,168,4,5,28.22,2,0,573,0
16.33,0.0,136,3,2,25.45,15,0,761,0
15.39,0.0,116,6,1,0.5,21,0,690,0
1.0,0.1722,0,0,3,25.35,14,0,817,0
1.0,0.351,64,5,4,11.43,8,0,673,0
21.57,0.0,105,0,1,8.05,12,0,350,0
13.91,0.0185,49,7,0,25.37,20,1,696,0
5.42,0.0,14,5,1,15.93,23,0,699,1
23.63,0.1722,20,2,3,2.77,0,0,832,1
1.0,0.2019,139,1,3,18.88,6,1,766,0
18.42,0.0,65,0,2,1.01,9,0,645,0
20.46,0.0,150,3,3,5.13,10,0,495,1
1.0,0.8112,76,9,2,24.96,7,0,900,1
16.93,0.2156,230,6,4,13.28,5,1,723,0
1.0,0.7017,132,0,2,21.03,0,1,900,0
26.16,0.0,40,2,2,8.71,18,0,479,0
14.59,0.0,75,0,2,15.56,5,0,716,0
14.05,0.0,90,4,6,26.71,11,0,636,0
10.97,0.0,82,0,0,3.3,20,0,483,0
1.0,0.0,186,5,2,31.82,18,0,768,0
18.18,0.0,66,4,0,18.34,18,0,578,0
23.13,0.0,110,0,1,22.12,6,0,584,1
19.43,0.3454,44,2,1,0.5,6,0,705,1
1.0,0.0,49,2,3,23.61,22,0,300,0
17.92,0.0,118,2,1,31.58,18,0,707,0
1.0,0.8945,113,10,1,3.34,16,1,668,1
2.71,0.7738,65,2,3,0.5,0,1,703,1
1.02,0.0,216,6,2,18.58,5,1,397,0
32.87,0.0,95,5,6,60.25,1,1,519,0
17.22,0.0,61,4,0,7.92,18,0,625,0
31.76,0.0,186,4,3,37.99,14,0,300,0
8.48,0.0,151,2,0,9.57,15,0,726,1
23.48,0.0,35,2,6,24.01,15,0,628,0
1.0,0.5329,63,2,5,0.5,11,0,741,0
19.06,0.0,162,0,1,29.99,13,1,389,0
1.0,0.0,149,2,2,30.19,13,0,441,0
1.0,0.3424,101,2,1,16.58,5,0,845,0
1.62,0.0,153,3,1,29.16,16,0,616,0
2.17,0.0,117,3,1,21.92,7,1,300,0
1.0,0.3871,127,6,0,17.04,17,1,609,0
26.54,0.0,0,9,1,25.64,20,0,873,1
1.0,0.0,31,1,3,34.87,21,1,834,1
1.0,0.0509,63,8,1,16.63,22,0,745,1
17.46,0.0229,91,5,2,15.79,4,0,668,0
18.64,0.3946,127,2,0,0.5,8,1,708,1
1.0,0.0,54,4,3,18.18,13,0,575,0
3.87,0.0,154,2,1,20.7,10,1,381,0
1.0,0.0184,181,2,1,12.14,14,0,621,0
2.65,0.0,9,6,2,22.34,23,0,592,0
36.67,0.0,42,2,1,47.09,14,0,585,0
22.5,0.0,83,2,4,41.86,3,1,387,0
1.0,0.0624,155,6,0,21.47,8,0,580,0
31.23,0.0,0,13,1,11.22,19,0,462,0
25.3,0.0,99,2,1,26.7,8,0,681,1
10.53,0.0,76,4,1,35.32,11,1,786,1
18.74,0.0,126,0,1,34.35,16,0,726,1
12.63,0.1369,137,6,1,0.5,21,0,719,1
5.9,0.4127,24,6,0,6.22,13,0,900,1
19.16,0.0,83,3,0,7.56,15,0,622,0
21.36,0.3034,54,6,0,0.5,9,0,659,0
3.29,0.1497,32,5,0,11.66,7,0,503,0
9.78,0.0,121,1,1,36.84,24,1,763,1
1.0,0.6013,68,0,0,10.4,19,0,811,1
13.63,0.1726,0,7,1,19.73,11,0,710,1
1.0,0.0,65,3,3,32.95,20,1,688,1
27.31,0.0,153,2,2,22.87,0,0,683,0
1.0,0.0,207,4,1,16.8,1,0,458,0
13.74,0.0,45,4,1,8.28,8,0,411,0
7.82,0.0,160,3,5,38.41,6,0,641,0
7.76,0.0,87,4,0,25.5,20,0,514,0
13.15,0.0,110,5,0,11.41,24,0,659,1
35.72,0.0,0,3,2,19.63,10,0,900,1
8.46,0.0,84,0,0,36.13,8,0,871,1
27.42,0.0,225,9,3,32.85,9,1,900,1
23.93,0.018,169,5,3,15.36,0,0,662,1
1.31,0.2901,34,5,1,0.5,12,0,363,1
1.0,0.1536,193,3,0,0.5,0,0,708,0
1.0,0.8254,86,3,0,0.5,17,0,658,1
37.37,0.0,56,3,0,25.23,17,0,501,0
24.42,0.0,5,4,1,36.24,31,1,453,0
1.27,0.1508,148,3,1,12.05,22,0,732,1
49.33,0.0,11,3,3,50.57,8,0,479,0
1.0,1.0,154,3,3,3.72,10,0,900,1
23.25,0.0,63,6,3,13.55,11,0,717,0
1.0,1.0,144,2,4,0.5,10,0,900,1
1.0,0.8693,128,1,0,9.59,8,1,893,0
6.78,0.3818,76,6,0,11.94,9,0,855,0
29.41,0.4786,92,1,0,0.5,3,0,900,1
26.72,0.0,62,3,4,36.9,6,0,595,1
36.53,0.0,32,6,0,19.64,11,0,607,0
29.55,0.0,92,3,5,42.52,9,0,763,0
1.0,0.0,0,4,4,44.66,33,0,537,0
4.57,0.0,43,4,2,46.14,21,0,900,1
7.45,0.3665,74,2,2,22.81,1,0,870,1
25.09,0.0,106,4,2,32.43,10,1,652,1
16.55,0.0,80,2,4,37.3,18,0,524,0
38.8,0.0,82,6,5,57.03,2,1,524,0
25.79,0.0,97,5,4,0.5,20,1,481,0
19.16,0.0,130,0,1,16.93,12,1,469,0
44.29,0.0,0,5,2,0.5,17,0,602,0
1.0,0.0,15,0,0,23.21,27,0,476,0
9.08,0.0,156,6,1,21.94,6,0,663,0
48.09,0.7459,0,5,6,0.5,0,1,900,1
34.68,0.0,70,3,3,26.22,5,0,652,0
3.18,0.0,148,3,1,15.83,6,0,658,1
34.33,0.0,89,7,0,2.25,12,1,557,0
38.97,0.1732,0,6,2,0.5,0,0,657,0
16.45,0.0,203,1,2,16.83,3,0,481,0
14.44,0.0439,161,5,2,25.27,13,0,873,1
1.0,0.283,107,5,0,24.9,16,0,900,1
12.99,0.7979,73,2,0,0.5,2,0,883,1
4.45,0.0,141,2,1,13.18,3,0,610,0
1.0,0.3726,136,0,3,23.06,0,0,853,0
1.0,0.2713,171,5,5,30.99,3,0,672,0
15.81,0.0,106,3,1,42.53,14,0,900,1
3.35,0.0,74,0,3,25.58,9,0,824,0
1.0,0.8932,0,6,1,0.5,16,0,667,1
1.46,0.0,126,4,1,22.19,11,0,521,0
17.65,0.7239,14,4,2,0.5,0,0,779,1
23.31,0.2737,19,4,3,0.5,0,0,721,1
1.0,0.2242,94,3,1,9.71,11,0,650,0
1.49,0.0,140,6,2,36.37,13,0,300,0
1.0,0.1484,31,5,2,17.63,12,0,752,0
13.87,0.0,92,0,5,32.06,3,0,878,0
30.69,0.0255,107,2,0,0.5,8,1,529,0
23.53,0.6383,45,6,4,0.5,0,1,494,1
13.98,0.0618,117,3,2,5.83,13,0,822,0
22.62,0.2927,56,3,0,6.7,12,0,858,0
31.51,0.6792,54,5,2,0.5,0,1,698,1
6.68,0.0,133,3,0,19.04,12,1,577,0
20.31,0.0,153,6,3,10.69,11,1,475,0
1.0,0.0,133,3,2,24.56,4,0,749,0
14.73,0.6378,10,0,4,0.83,0,1,830,1
14.42,0.0,65,1,0,0.87,10,0,514,0
3.2,1.0,108,3,1,0.5,0,1,482,1
14.73,0.9718,88,6,0,0.5,0,1,772,1
19.43,0.0,83,1,0,18.1,13,1,390,0
1.0,0.5474,139,0,1,11.73,9,0,639,0
14.14,0.0,80,2,1,21.38,22,0,300,0
1.0,0.9064,148,5,1,18.7,9,1,853,0
23.36,0.6317,0,8,1,0.5,6,0,838,1
1.0,0.3958,87,5,1,10.3,13,0,699,0
28.26,0.0,65,3,1,28.62,13,0,532,0
12.39,0.3571,131,1,0,0.5,11,1,599,0
1.41,0.2827,91,1,2,20.26,18,0,896,1
35.51,0.3747,0,3,0,0.5,7,0,900,1
1.0,0.3361,44,5,0,7.97,16,0,662,0
19.04,0.0,28,2,0,11.66,13,0,832,1
33.16,0.0218,0,4,3,0.5,0,0,662,1
17.49,0.0796,0,3,3,13.75,6,0,900,1
22.75,0.0,95,4,0,4.77,19,0,606,0
4.7,0.5746,155,4,3,12.81,1,1,842,0
37.05,0.0,70,0,2,34.85,4,1,380,1
9.21,0.0,162,3,0,12.54,17,1,602,0
4.25,0.3271,72,3,1,36.21,5,0,900,1
12.4,0.0,210,2,0,12.88,0,0,441,0
19.56,1.0,9,10,1,0.5,0,1,551,1
14.72,0.5884,19,0,2,0.88,1,0,875,1
36.69,0.0,12,0,2,22.06,7,0,468,0
1.0,0.6982,53,2,0,0.5,9,0,497,1
12.34,0.3903,101,6,1,0.63,11,0,900,1
1.0,0.3188,0,0,1,32.2,16,0,900,1
6.74,0.0,179,0,3,32.91,10,1,577,0
6.45,0.1761,122,0,3,19.89,5,1,465,0
10.1,0.0,157,0,3,25.35,4,0,366,0
23.04,0.0,85,6,5,21.56,7,1,608,0
4.33,0.0,11,3,0,6.39,28,0,376,0
17.78,0.0,106,2,2,12.88,12,0,506,0
1.0,0.7957,84,3,2,0.5,0,0,625,1
19.68,0.0,40,1,3,12.93,15,0,736,0
1.0,0.3166,38,6,1,12.44,15,0,781,0
44.0,0.0,21,4,0,15.46,15,0,437,0
22.98,0.0,54,2,0,2.97,18,0,662,0
1.0,0.5366,12,7,4,8.61,1,1,752,1
24.59,0.0,110,1,4,43.71,15,0,819,0
