transaction_amount,merchant_category,time_delta_seconds,device_risk_score,location_cluster,tx_frequency_24h,avg_amount_7d,is_new_merchant,hour_of_day,is_fraud
7956.29,17,377.0,0.091,6,0,9592.98,1,4,1
9860.21,4,136.0,0.1897,0,0,211.84,0,0,0
3694.82,1,443.0,1.0,3,0,1373.28,0,15,0
15213.53,1,1140.0,0.1574,0,0,1109.92,0,13,0
9035.78,2,251.0,0.9483,3,3,2978.26,0,7,0
2190.38,4,301.0,0.2832,1,0,144.02,0,3,0
726.06,1,49.0,0.5806,5,0,4023.76,1,20,0
5632.09,1,56.0,1.0,5,10,7352.59,0,23,0
9021.69,8,507.0,0.0,6,6,2619.08,0,9,0
20851.51,1,559.0,0.694,10,6,6289.0,0,23,0
2581.73,6,371.0,0.5272,0,1,5540.96,0,17,0
1325.78,1,264.0,1.0,8,11,925.58,1,23,0
27.74,12,140.0,0.3748,6,0,7630.36,0,5,0
7757.46,1,436.0,0.46,6,9,5949.65,1,15,0
18124.59,1,688.0,0.0,10,1,7862.32,1,11,0
13355.61,7,665.0,0.0,2,0,4313.85,0,12,0
17837.88,1,117.0,0.3828,8,3,1302.57,0,12,0
5638.35,2,399.0,0.791,0,0,4025.14,0,7,1
6374.98,10,620.0,0.9659,2,3,2152.08,0,8,0
4545.09,9,464.0,1.0,0,6,6087.49,0,18,1
13896.76,8,1021.0,0.0,1,1,4801.77,0,13,0
4832.49,1,551.0,0.0,5,1,7107.9,0,0,0
5127.45,1,58.0,1.0,1,0,4404.79,0,17,0
9681.42,15,357.0,0.0,0,11,10403.76,0,0,0
20917.47,1,656.0,0.0301,10,2,5584.78,1,18,0
13355.7,1,266.0,1.0,7,4,929.76,0,14,0
7299.69,5,306.0,0.2333,7,8,6212.38,0,6,1
8140.1,8,227.0,0.3197,5,8,2730.39,0,0,1
4867.43,4,927.0,0.7304,1,3,6144.02,0,4,0
5152.33,19,194.0,0.5788,6,0,7826.76,0,3,1
9765.05,9,1.0,1.0,9,18,13080.61,0,10,0
7347.92,1,848.0,0.2159,0,9,1068.85,0,8,1
7649.06,9,152.0,0.8117,0,0,3874.91,0,12,0
10150.06,13,999.0,0.0,2,0,2155.16,0,14,0
9180.37,1,225.0,0.2028,6,2,3637.62,0,0,1
3882.77,6,64.0,0.2829,6,6,4488.07,0,2,0
8302.26,9,162.0,0.0,1,1,49.79,1,0,0
3456.2,5,153.0,0.4075,1,0,310.42,0,3,0
12053.66,5,591.0,1.0,0,0,731.01,0,2,0
534.2,20,775.0,0.9337,5,3,7204.76,0,0,1
6703.35,1,93.0,0.0,0,7,3192.28,0,0,0
7715.56,9,700.0,0.7251,4,0,2302.16,0,0,0
3640.18,20,472.0,1.0,4,3,8132.02,0,7,1
15216.46,12,44.0,0.0,5,8,1730.61,0,4,1
18093.71,1,754.0,0.0,6,0,2577.14,0,6,0
9643.55,1,423.0,0.6574,7,3,8443.23,0,0,0
3538.17,5,874.0,0.9088,4,1,881.66,0,1,0
927.38,10,250.0,0.9131,0,0,7022.18,0,19,0
459.85,9,218.0,0.5595,1,10,4413.65,0,2,0
9399.03,9,516.0,0.0,0,6,4627.96,0,0,0
716.76,1,969.0,0.0,0,5,8121.13,1,12,0
4368.16,9,454.0,0.6415,3,0,1652.98,0,0,0
4507.68,1,341.0,0.9089,7,10,5083.88,0,4,0
6717.72,6,680.0,0.0,4,0,2595.64,0,5,0
928.75,4,181.0,0.0,0,0,5254.65,0,4,0
1302.12,15,890.0,0.9755,0,7,596.66,0,0,0
8312.09,10,446.0,0.4738,1,9,1659.32,0,14,0
3335.32,1,193.0,0.5234,3,15,2555.78,0,13,0
5998.88,1,343.0,0.4107,8,2,10222.69,0,2,0
3209.45,13,788.0,0.0,0,12,5919.86,0,3,0
920.46,15,192.0,0.3456,4,7,5059.91,0,6,0
14097.63,12,363.0,0.2628,0,2,5624.07,0,0,0
10925.26,14,1028.0,0.0,7,9,4549.57,1,18,0
10399.74,5,614.0,0.3495,9,2,8465.97,0,12,0
2241.6,5,231.0,0.5119,5,14,1213.82,1,11,0
4790.8,8,406.0,0.0,8,0,7268.23,1,0,1
21043.77,1,41.0,0.8999,2,0,3315.95,0,3,0
3951.56,1,280.0,0.5638,5,5,4071.21,1,23,0
11142.99,10,807.0,0.0,2,0,1761.66,0,16,0
1751.35,4,165.0,0.8858,0,0,6469.73,0,21,0
2101.3,2,236.0,0.3714,3,0,6230.13,0,11,0
2894.03,7,537.0,0.0216,0,0,1968.67,0,0,0
9518.3,1,1.0,0.9795,10,21,2660.71,1,12,0
6926.25,3,56.0,0.1259,3,4,4830.97,0,9,0
13345.81,20,316.0,0.3329,0,6,6943.71,0,1,0
4351.81,14,202.0,0.0291,6,9,6754.22,1,2,1
300.44,12,209.0,0.3584,0,0,834.1,0,0,0
19256.79,1,569.0,0.6657,4,0,2159.63,1,0,0
10264.56,5,661.0,0.8427,3,0,3413.05,0,0,0
11855.84,16,207.0,0.215,4,1,470.3,0,3,1
13338.88,8,251.0,0.9973,0,0,3109.83,0,0,0
9160.99,1,202.0,0.3069,3,1,3137.96,1,6,0
9710.07,1,1114.0,1.0,4,2,734.35,0,11,0
13120.94,16,505.0,0.5911,2,14,2403.77,0,4,1
4026.15,6,133.0,0.178,3,0,449.56,0,1,0
1269.89,15,564.0,0.4889,6,0,10694.15,0,10,0
7802.55,1,525.0,0.0,10,7,13073.5,0,0,0
7211.56,2,44.0,0.5048,2,3,542.99,0,4,0
10360.36,2,242.0,1.0,2,11,2834.69,0,9,0
2712.94,8,15.0,0.7439,2,11,1792.69,0,13,1
4930.92,11,372.0,0.4941,2,0,1943.43,0,10,0
10894.47,14,116.0,0.0,6,1,187.5,1,0,1
19411.66,3,877.0,0.0903,10,1,5172.43,0,20,0
11778.58,2,380.0,0.0,9,0,4294.96,0,8,0
3221.76,6,383.0,0.2264,5,3,5590.23,0,3,0
7694.72,19,1228.0,0.0,3,12,1393.57,1,13,1
6105.1,3,369.0,0.0,1,5,3053.6,0,0,0
5126.5,16,636.0,0.2149,5,12,4288.36,0,15,0
310.5,1,66.0,1.0,1,2,2732.61,0,22,0
9858.77,14,884.0,1.0,0,5,3287.37,0,0,0
6304.53,20,1178.0,1.0,3,0,15403.49,0,12,1
4932.77,12,450.0,1.0,0,2,1504.29,0,1,0
10055.7,3,679.0,0.0,8,1,7113.99,0,7,0
7276.69,1,34.0,0.4837,10,5,13302.88,0,2,0
1851.94,1,784.0,0.9833,6,1,312.14,0,7,0
5446.16,11,267.0,0.3621,0,3,7318.82,0,6,0
9131.81,1,204.0,0.2417,6,0,3368.79,0,16,0
367.11,6,300.0,0.6538,3,6,3335.9,0,0,0
4664.21,1,389.0,0.8178,8,2,2424.58,1,9,0
6300.91,2,363.0,0.6831,2,4,7148.67,0,0,0
8034.31,1,333.0,0.9744,3,8,723.17,0,8,0
223.72,8,37.0,0.4207,3,6,4175.33,0,0,0
19011.21,5,500.0,0.6653,9,6,3131.22,0,23,0
6725.19,18,665.0,0.4451,6,10,2252.51,0,2,1
5312.53,4,277.0,0.1894,8,1,14592.28,0,0,0
656.74,8,251.0,1.0,6,2,8838.15,0,6,0
5244.15,9,51.0,0.5354,5,0,2399.42,0,9,0
10542.2,9,238.0,0.0,7,0,2427.03,1,0,1
3018.62,5,6.0,0.5128,1,0,4274.88,0,0,0
17897.84,16,94.0,0.0,3,8,5419.79,0,0,1
5291.25,9,426.0,0.364,3,0,2872.94,0,7,0
4976.09,11,564.0,0.3421,4,5,4702.76,0,12,0
3016.89,5,202.0,0.2665,3,4,169.98,0,8,0
7498.54,4,159.0,1.0,1,5,23.75,0,12,0
9104.93,1,897.0,0.0,4,6,2056.34,0,0,0
1669.08,1,276.0,1.0,2,3,3972.12,0,15,0
8138.34,5,40.0,0.3823,0,0,5014.91,0,6,0
843.17,1,824.0,1.0,2,9,2029.55,0,7,0
16152.77,1,216.0,0.3932,2,5,5151.44,0,0,0
12727.77,8,53.0,0.2955,0,1,1035.62,0,0,0
532.95,6,487.0,0.0,2,3,3326.43,1,4,0
14343.62,8,384.0,0.0,4,8,881.41,0,0,1
3785.19,1,430.0,0.8741,8,2,7769.83,0,1,0
2520.28,7,98.0,0.4337,1,5,5786.04,0,12,0
9638.78,1,715.0,1.0,2,3,3683.56,0,0,0
8600.71,14,697.0,0.0,6,0,2339.63,1,16,0
13965.78,2,379.0,0.1413,4,0,2967.03,0,12,0
6368.0,15,90.0,0.2025,0,10,7914.75,0,4,0
8140.44,5,877.0,0.0,10,1,12922.38,1,8,0
7268.79,9,405.0,0.0472,5,13,1627.46,0,9,0
18494.57,1,323.0,0.8489,0,11,175.22,0,0,0
8241.11,7,200.0,0.3148,1,9,3006.37,0,3,0
2480.47,13,189.0,0.9019,7,0,8955.67,0,7,1
12461.22,13,157.0,0.1846,0,2,5351.66,0,0,0
1179.77,1,110.0,0.2389,7,5,4088.43,0,0,0
8006.2,7,528.0,0.3496,8,0,8228.29,0,11,0
6421.63,17,380.0,1.0,0,0,3712.14,0,11,0
10564.67,1,775.0,1.0,8,0,6078.38,0,5,0
5668.89,4,605.0,0.0,6,0,5831.89,0,1,0
330.29,12,420.0,0.0,1,2,996.18,0,0,0
4825.34,16,235.0,0.7627,0,5,5363.97,0,11,0
2481.87,6,468.0,0.5469,0,5,1702.1,0,6,0
7996.5,1,443.0,0.6025,4,0,2473.58,0,12,0
6873.61,6,283.0,0.3676,7,6,6916.37,0,7,0
3604.02,11,891.0,0.8246,0,9,5124.82,0,0,0
12047.1,2,333.0,0.681,1,7,2916.42,0,6,0
11450.71,1,310.0,0.0,5,3,1848.65,0,4,0
5097.02,5,279.0,0.2511,5,0,4088.41,0,4,0
8084.0,2,241.0,0.6375,6,9,6998.76,0,7,0
516.97,4,269.0,0.4624,0,0,5955.41,0,12,0
2046.62,6,32.0,0.6008,5,3,8425.66,0,0,0
10125.82,1,174.0,0.0,8,0,3086.56,0,2,0
14818.58,20,191.0,0.0,0,14,15703.42,0,10,0
14208.51,3,422.0,0.3285,10,6,5717.79,0,14,0
13637.17,1,378.0,1.0,7,5,9684.84,0,0,0
16123.4,1,1209.0,0.0,10,8,10724.42,1,11,0
17868.63,5,597.0,0.3384,8,2,2704.84,0,21,0
3620.18,12,98.0,0.8349,0,10,2933.34,0,10,0
12555.41,3,798.0,0.0,10,5,9672.11,1,11,0
5368.41,20,473.0,0.9528,0,0,7188.23,0,13,0
3459.86,1,756.0,0.4271,1,0,1559.0,0,16,0
9502.47,7,1.0,0.5129,7,15,5701.84,0,9,0
13716.19,16,236.0,0.6965,0,2,930.91,0,0,0
9565.31,1,1.0,0.0,10,16,3555.63,1,6,0
20439.84,6,223.0,0.4171,7,0,3227.84,0,23,0
12515.16,1,261.0,0.7448,10,1,14253.76,0,12,0
710.45,6,55.0,0.7866,8,0,12589.31,0,1,0
6012.12,4,86.0,0.5452,8,0,7961.65,0,6,0
614.61,2,710.0,1.0,3,8,2948.88,0,0,0
14669.9,3,481.0,0.0,5,0,3295.75,0,11,0
1941.21,5,82.0,0.0,3,6,616.4,0,0,0
3784.59,2,167.0,0.5802,9,1,10917.9,0,3,0
4275.11,8,363.0,0.5539,0,2,8338.49,0,13,0
16699.83,1,610.0,1.0,5,2,4917.7,0,1,0
10370.79,10,517.0,0.3225,1,4,3501.96,0,16,0
13913.58,1,1626.0,0.0,8,5,3757.93,1,6,0
1494.64,11,126.0,0.3382,0,0,1167.24,0,0,0
1060.17,20,939.0,1.0,5,7,8276.97,0,8,1
101.09,11,459.0,1.0,0,3,5675.43,0,16,0
5936.11,11,672.0,0.0,6,0,5493.57,0,9,0
4231.35,7,39.0,0.9881,7,4,7611.01,0,11,0
3978.53,2,520.0,0.0,5,1,4321.69,0,0,0
802.4,10,639.0,0.696,2,12,2150.01,0,5,0
1146.51,10,467.0,0.4837,2,0,2692.67,0,3,0
3660.85,1,151.0,0.7078,10,8,20757.99,0,0,0
3117.22,6,72.0,0.0,6,10,2782.77,1,0,1
2680.12,8,128.0,0.7016,6,0,7234.33,0,8,0
12918.83,1,37.0,0.394,5,0,557.89,1,4,0
4034.11,1,262.0,0.0,2,7,3196.17,0,1,0
8135.09,17,219.0,0.0173,5,0,3317.73,0,0,1
8841.35,1,364.0,0.7212,4,0,2312.42,0,0,0
2208.68,1,220.0,1.0,4,8,1832.47,0,22,0
14421.73,15,123.0,0.0,3,2,2417.1,0,0,1
12703.0,1,717.0,0.0,10,0,8899.64,0,4,0
11147.04,1,628.0,0.0,2,5,1042.5,0,2,0
21799.25,2,1302.0,0.0,10,3,7141.31,1,21,0
2073.85,13,471.0,0.5413,0,1,4185.92,0,2,0
9686.74,9,172.0,0.7135,4,1,1338.17,0,8,1
9662.27,1,1.0,1.0,8,21,3172.6,1,4,0
1130.06,1,367.0,1.0,3,11,720.15,0,14,0
8733.15,17,71.0,0.4542,3,14,4308.17,0,0,1
4349.81,20,186.0,0.0,0,5,5483.2,0,0,0
10353.94,19,833.0,0.0,1,5,1954.0,1,9,0
15933.26,18,147.0,0.0,2,4,3956.21,0,0,1
15252.67,3,709.0,0.0295,9,2,5725.74,0,12,0
3380.41,10,537.0,0.6633,0,4,4962.31,0,14,1
9896.48,20,1521.0,0.0,4,8,4897.41,0,23,1
7369.27,19,240.0,0.6462,0,6,2480.38,0,8,0
788.61,8,308.0,0.4084,5,5,7484.83,0,1,0
10470.94,18,206.0,0.0,5,0,539.12,1,0,1
10353.45,11,460.0,0.1675,3,3,2238.45,0,15,0
109.74,2,214.0,0.2427,10,3,18523.09,1,0,0
1302.01,10,148.0,0.3002,1,0,585.05,0,3,0
4274.26,4,233.0,0.5064,5,0,6112.22,0,3,0
1426.66,1,74.0,0.0,3,10,3634.15,0,0,0
1713.09,15,470.0,0.0,0,0,360.99,0,0,0
12529.1,1,344.0,0.0695,6,7,582.21,0,6,0
673.02,10,864.0,1.0,1,7,2832.89,0,11,0
6149.9,8,114.0,0.0707,0,4,3055.14,0,0,0
18864.9,12,311.0,0.0,0,5,4590.08,1,0,1
14402.17,1,535.0,0.0,9,0,4406.99,0,3,0
444.99,4,190.0,0.3671,3,3,3861.7,0,16,0
8268.41,10,408.0,0.5696,6,4,5542.92,0,15,0
14029.11,1,239.0,0.8704,10,5,8493.33,0,15,0
6868.2,16,291.0,0.7273,0,1,9783.41,0,18,0
17141.05,1,814.0,0.0,10,0,7355.74,0,12,0
7099.07,1,566.0,0.0,6,0,4386.32,0,0,1
10110.6,10,35.0,0.6229,0,0,60.95,0,0,0
2266.81,3,97.0,0.2424,3,0,2612.39,0,0,0
15219.69,1,694.0,0.0,6,0,1013.22,0,1,1
5168.94,9,587.0,0.617,0,0,3066.98,0,2,0
4584.04,12,153.0,1.0,0,0,175.23,0,16,0
9520.74,14,1.0,1.0,0,16,857.73,0,0,0
148.19,7,27.0,0.4434,6,12,6999.47,0,1,0
10962.08,5,524.0,0.3493,3,0,1012.85,1,0,0
2477.03,5,429.0,0.2808,9,4,11442.53,0,2,0
1944.94,12,385.0,0.2441,0,5,4046.35,0,9,0
12747.54,1,217.0,0.5309,8,4,4284.29,0,1,0
11995.96,1,358.0,1.0,10,5,8912.39,0,11,0
7417.88,8,211.0,0.5451,7,0,11697.85,0,0,0
2227.19,13,577.0,0.0564,1,5,1395.59,0,0,0
12576.87,1,181.0,0.5634,10,0,7259.68,0,8,0
2542.09,13,120.0,0.9248,6,7,11380.77,0,7,0
3367.88,8,408.0,0.1135,7,0,6918.28,0,4,0
3372.13,5,533.0,0.3253,10,1,14323.31,0,3,0
2099.9,9,330.0,0.386,6,3,6479.94,0,7,0
522.02,20,510.0,1.0,0,8,8041.36,0,8,0
4471.93,13,633.0,0.0,4,3,1876.87,1,7,0
9974.95,13,1.0,0.0,0,23,6371.81,0,14,0
9571.83,1,721.0,0.0,6,4,3584.62,0,0,0
5786.76,18,514.0,0.3936,1,0,569.52,0,17,1
7222.09,1,298.0,1.0,4,9,2376.64,0,23,0
12635.75,1,476.0,0.3664,10,4,10274.29,0,12,0
14239.86,1,304.0,0.0,5,2,2678.87,0,0,1
5688.58,16,640.0,0.0,0,4,5809.32,0,0,0
3006.47,9,40.0,0.915,0,0,1315.7,0,11,0
230.38,16,505.0,0.0,4,0,3216.14,1,8,1
6326.41,6,343.0,1.0,5,0,2611.2,0,11,0
3342.18,3,78.0,0.6933,0,0,238.37,0,0,0
7878.25,3,689.0,0.0,4,2,2375.17,0,3,0
4279.65,16,211.0,0.3542,0,0,1572.33,0,0,0
1029.72,14,431.0,0.4473,0,1,1762.06,0,9,0
6166.6,7,36.0,0.5677,3,6,3600.23,0,15,0
6755.26,1,220.0,0.0815,6,0,4857.95,0,0,0
2974.0,17,577.0,1.0,3,0,8117.77,0,19,1
642.36,5,443.0,0.0,0,9,4476.11,0,0,0
13387.1,1,93.0,0.4918,6,3,939.69,0,10,0
2251.33,18,1131.0,0.0,2,5,1117.25,1,15,1
6880.1,13,35.0,0.1629,0,1,2134.69,0,2,0
13096.29,4,192.0,0.7566,4,0,694.74,0,14,0
7588.78,3,590.0,0.0466,3,1,2397.42,0,4,0
12137.28,1,788.0,0.7192,6,2,3307.29,1,0,0
352.32,13,464.0,0.0,7,2,8934.45,1,2,1
10058.13,1,608.0,0.0,10,4,10568.15,0,3,0
6244.53,10,677.0,0.0,2,0,8900.7,0,0,0
9933.27,1,1.0,0.0,2,22,3373.6,0,0,0
11175.8,20,850.0,0.0,3,2,3403.44,1,10,1
13313.38,20,45.0,0.5473,0,0,2538.48,0,0,0
7142.46,1,374.0,1.0,4,7,2474.38,0,11,0
5298.73,7,631.0,0.0,0,6,3126.59,0,0,0
4546.86,18,790.0,0.287,7,2,10313.83,0,13,1
65.08,16,498.0,0.7105,0,6,6429.79,0,5,0
9818.76,18,459.0,0.0,5,0,335.38,1,0,1
15088.67,7,604.0,0.0,4,5,1061.34,1,0,1
16128.63,5,1031.0,0.0,1,6,7683.07,0,11,0
196.63,3,168.0,0.0513,5,0,7281.28,0,0,0
9538.94,1,189.0,0.9806,10,1,12835.87,0,5,0
8344.0,6,992.0,0.9513,1,7,3096.76,0,1,0
8087.73,20,1269.0,0.0,5,4,8931.47,1,15,1
2327.75,20,416.0,0.4938,6,3,10538.73,0,9,1
2594.47,9,444.0,0.2108,7,0,8760.1,0,5,0
257.82,9,325.0,0.3493,0,5,4209.57,0,1,0
5948.34,8,98.0,0.4816,5,0,2272.03,0,10,0
7099.21,6,351.0,0.6279,9,9,9777.73,0,11,0
5063.32,5,417.0,0.0529,4,0,2813.83,0,3,0
11054.99,3,31.0,0.9597,10,13,10815.16,0,17,0
6440.45,1,288.0,0.117,3,10,2544.23,1,0,0
5708.81,11,248.0,0.7927,0,0,3877.72,0,0,0
5099.62,7,668.0,0.0,1,1,577.44,0,2,0
1918.05,12,69.0,0.606,6,3,6331.23,0,8,0
13915.87,2,473.0,0.0,3,0,3173.86,0,8,0
12278.5,1,357.0,0.2593,10,6,9936.32,0,5,0
3111.15,15,330.0,0.6727,7,0,7074.11,0,5,1
2521.09,9,223.0,0.0,8,3,8651.07,1,0,1
5748.43,3,643.0,1.0,3,2,4195.96,0,4,1
6660.49,8,891.0,0.1387,5,7,2384.17,0,0,0
8460.46,14,342.0,0.3729,0,0,2329.95,0,0,0
113.15,5,334.0,0.728,3,0,1379.23,0,9,0
3305.5,10,550.0,0.258,7,1,9068.24,0,6,0
6657.01,3,337.0,0.1434,6,6,4924.73,0,2,0
6772.0,6,260.0,0.0,1,1,4747.14,0,0,0
13494.37,18,135.0,0.0,4,0,1778.39,1,0,1
9759.37,12,1.0,0.4664,0,15,7543.95,0,9,0
2758.05,15,194.0,0.612,0,4,7720.07,0,12,0
5028.71,13,802.0,0.0,6,2,4776.29,1,8,1
12790.99,12,515.0,0.3243,1,0,4819.15,0,21,0
5149.42,5,245.0,0.6255,2,0,1659.98,0,7,0
17265.91,1,607.0,0.0913,10,10,12196.48,1,13,0
9587.44,13,433.0,0.6878,10,0,9221.91,0,20,0
9634.61,1,1.0,0.3702,7,22,1545.57,0,2,0
14059.13,1,367.0,0.4894,0,0,1183.74,0,7,0
12686.57,17,189.0,0.0,2,0,1401.21,1,3,1
1404.3,1,318.0,0.5772,4,5,517.52,0,13,0
16000.14,1,1184.0,1.0,8,1,3636.54,0,2,0
9075.89,10,479.0,0.9255,0,2,7108.34,0,23,0
4900.3,20,523.0,0.0,0,10,10762.23,0,1,1
14926.22,1,744.0,0.6658,7,0,3830.29,1,0,0
12048.18,1,393.0,0.0,10,1,8526.1,0,3,0
21799.42,1,942.0,0.8312,5,6,6327.62,0,0,0
3898.38,1,618.0,0.9099,7,0,3381.72,0,4,0
9461.69,12,147.0,0.7405,4,0,100.43,0,19,0
6808.91,5,69.0,0.411,1,0,1688.93,0,3,0
2018.32,6,302.0,1.0,0,0,4148.54,0,14,0
3935.01,2,44.0,0.0,5,19,7471.52,1,4,0
9736.84,4,1.0,0.0,6,16,7999.51,0,0,0
5671.36,12,410.0,0.0,4,4,2235.76,1,1,1
9791.57,13,473.0,0.0016,2,5,4421.57,0,14,0
19456.64,1,411.0,0.3369,10,6,4616.66,0,16,0
5809.92,8,736.0,0.0,7,0,6297.99,1,6,0
11464.46,1,612.0,0.2775,10,1,10060.11,0,9,0
449.45,10,656.0,0.0,0,9,2636.19,0,0,0
2149.59,8,291.0,0.2783,4,0,7821.79,0,0,0
9973.35,1,417.0,0.8381,3,7,862.11,0,7,0
13503.76,15,169.0,0.0,3,0,883.74,0,0,1
12253.38,8,309.0,0.125,9,0,10102.57,0,1,1
2150.21,9,730.0,0.0,1,0,1861.91,0,0,0
9478.26,6,7.0,0.7515,4,4,64.68,0,14,0
8629.02,1,218.0,0.4975,4,2,2485.46,0,8,0
2865.84,12,5.0,0.8645,4,0,3671.12,0,12,0
21165.57,17,353.0,0.0,2,9,392.07,1,0,1
9065.33,10,299.0,0.0,1,11,7267.49,0,6,0
14072.58,3,551.0,0.5208,8,0,5132.5,0,16,0
12145.04,2,350.0,0.3926,9,0,6372.69,0,12,0
14431.76,3,388.0,0.8831,1,4,908.42,0,5,0
17959.33,1,923.0,0.0,9,0,4002.82,0,12,0
15108.81,2,254.0,0.3297,6,4,843.41,0,14,0
12265.82,1,173.0,0.9465,10,3,12369.42,0,10,0
9963.08,1,532.0,0.7708,6,0,2662.55,0,0,0
1134.19,11,200.0,0.4109,6,1,6137.68,0,7,0
6962.03,3,506.0,0.0,0,8,2912.29,0,0,0
14372.68,2,455.0,0.0,3,0,4961.47,0,11,0
11911.73,17,544.0,0.0,3,2,3055.52,1,8,1
821.32,1,71.0,0.0,7,0,514.01,1,2,0
388.05,11,339.0,0.0,2,9,1122.8,0,0,0
3326.99,10,37.0,0.8784,1,0,5100.67,0,3,0
5613.69,3,606.0,0.6323,1,3,5946.95,0,7,0
15785.24,1,321.0,0.611,5,0,5739.33,0,0,0
10224.69,20,571.0,0.0,3,6,1075.5,0,0,1
3015.88,1,864.0,0.6254,7,0,287.99,1,1,0
11474.29,1,125.0,0.3769,2,0,2660.77,0,7,0
6185.76,1,985.0,1.0,6,4,3833.82,0,3,0
9098.76,8,218.0,0.4227,0,0,3484.11,0,8,0
9440.78,2,414.0,1.0,1,0,2054.44,0,10,0
15140.85,2,153.0,0.5485,7,9,605.95,0,15,0
6667.79,4,261.0,0.2143,9,3,7358.76,0,6,0
17447.14,1,902.0,0.0012,10,4,8175.26,1,17,0
7514.78,10,34.0,0.9154,3,1,684.76,0,15,0
253.48,14,52.0,0.5867,0,3,1874.02,0,6,0
15893.79,1,855.0,0.0,9,0,3879.8,0,10,0
15654.57,1,563.0,1.0,10,7,9593.62,0,13,0
3171.87,6,327.0,0.0,3,12,1995.5,1,0,1
12429.09,5,1166.0,0.0,9,1,5190.66,1,7,0
1258.71,2,76.0,0.362,7,0,9019.93,0,0,0
3185.39,3,117.0,0.7957,2,5,2955.4,0,16,0
10488.13,1,124.0,0.5539,8,4,4867.72,0,8,0
9227.81,7,400.0,0.8348,0,0,2466.21,0,0,0
3369.07,18,29.0,0.0,0,2,6864.2,0,2,0
3048.03,9,201.0,0.2381,0,6,9514.42,0,12,0
10889.47,20,692.0,0.248,2,7,1812.85,0,0,1
1452.82,17,344.0,0.5288,5,5,7696.57,0,10,1
2229.61,15,936.0,0.0,0,13,4091.48,0,6,0
1505.93,11,56.0,0.4483,0,0,3614.86,0,8,0
13247.77,1,438.0,0.2391,7,5,4016.47,0,8,0
8888.37,16,621.0,0.3737,5,0,258.89,0,3,1
3467.94,20,785.0,1.0,4,11,14757.6,0,6,1
11156.47,3,243.0,0.6729,10,1,9678.23,0,12,0
12661.97,2,67.0,0.6843,1,0,5039.66,0,0,0
6667.81,1,670.0,0.6699,3,5,126.77,0,0,0
7265.74,6,622.0,0.7047,2,0,2052.27,0,4,0
7933.98,1,711.0,0.9979,4,4,542.5,0,6,0
9314.31,1,209.0,0.3614,6,4,3545.07,0,4,0
803.64,12,64.0,0.5021,0,4,2933.99,0,5,1
24615.21,20,1449.0,0.0,1,14,2880.2,1,15,1
21743.31,1,699.0,0.0,2,0,10659.29,0,11,0
5550.99,8,128.0,0.2884,1,0,3278.65,0,3,0
15105.2,1,840.0,0.0,10,0,7766.23,0,9,0
